parmoeda,frequencia,datetime,timestamp,GEP,vela1,vela2,vela3,operacao,ultima_vela,vela_abertura
EURJPY,123.45,2023-08-02 00:22:49.476366,00:22:50,NEUTRO,1.0,0.0,2.0,PUT,157.4355,157.414
EURGBP,123.99,2023-08-02 00:23:49.837762,00:23:50,NEUTRO,5.0,5.0,0.0,CALL,0.860305,0.860305
EURJPY,123.45,2023-08-02 00:24:50.232792,00:24:50,NEUTRO,1.0,5.0,5.0,PUT,157.425,157.434
EURUSD,124.67,2023-08-02 09:03:50.563268,09:03:50,NEUTRO,5.0,1.0,0.0,CALL,1.09855,1.098555
EURJPY,123.45,2023-08-02 09:03:50.563268,09:03:50,ALTA,0.0,1.0,0.0,PUT,156.807015,156.804105
EURGBP,123.99,2023-08-02 09:03:50.563268,09:03:50,ALTA,5.0,1.0,2.0,PUT,0.860165,0.860235
EURJPY,123.45,2023-08-02 09:04:50.956056,09:04:50,NEUTRO,5.0,0.0,0.0,CALL,156.818765,156.799035
EURGBP,123.99,2023-08-02 09:04:50.956056,09:04:50,ALTA,0.0,2.0,5.0,CALL,0.86033,0.860125
EURUSD,124.67,2023-08-02 09:05:50.395706,09:05:50,ALTA,0.0,0.0,1.0,CALL,1.0987,1.09845
EURJPY,123.45,2023-08-02 09:05:50.395706,09:05:50,NEUTRO,5.0,0.0,4.0,PUT,156.846255,156.820805
EURGBP,123.99,2023-08-02 09:05:50.395706,09:05:50,ALTA,5.0,1.0,4.0,CALL,0.860345,0.860345
EURUSD,124.67,2023-08-02 09:06:50.930685,09:06:50,NEUTRO,1.0,2.0,5.0,CALL,1.09856,1.09868
EURJPY,123.45,2023-08-02 09:06:50.930685,09:06:50,ALTA,1.0,1.0,0.0,CALL,156.860375,156.846405
EURUSD,124.67,2023-08-02 09:07:50.291144,09:07:50,NEUTRO,0.0,0.0,2.0,CALL,1.09848,1.098545
EURJPY,123.45,2023-08-02 09:07:50.291144,09:07:50,ALTA,1.0,1.0,2.0,CALL,156.874495,156.858345
EURGBP,123.99,2023-08-02 09:07:50.291144,09:07:50,NEUTRO,0.0,5.0,1.0,PUT,0.86041,0.86045
EURJPY,123.45,2023-08-02 09:08:50.678124,09:08:50,ALTA,1.0,0.0,1.0,PUT,156.882515,156.866085
EURUSD,124.67,2023-08-02 09:09:51.090792,09:09:50,NEUTRO,1.0,0.0,1.0,CALL,1.09844,1.09852
EURJPY,123.45,2023-08-02 09:09:51.090792,09:09:50,ALTA,0.0,1.0,5.0,PUT,156.932185,156.880465
EURGBP,123.99,2023-08-02 09:09:51.090792,09:09:50,NEUTRO,0.0,0.0,0.0,CALL,0.86048,0.8604
EURJPY,123.45,2023-08-02 09:10:50.464051,09:10:50,ALTA,4.0,1.0,0.0,CALL,156.897445,156.910475
EURGBP,123.99,2023-08-02 09:10:50.464051,09:10:50,NEUTRO,1.0,0.0,5.0,PUT,0.860485,0.860485
EURUSD,124.67,2023-08-02 09:11:50.865118,09:11:50,NEUTRO,2.0,1.0,1.0,PUT,1.098295,1.09838
EURJPY,123.45,2023-08-02 09:11:50.865118,09:11:50,ALTA,0.0,0.0,1.0,CALL,156.880305,156.913295
EURJPY,123.45,2023-08-02 09:12:50.232982,09:12:50,NEUTRO,1.0,1.0,0.0,PUT,156.894675,156.884025
EURJPY,123.45,2023-08-02 09:13:50.671618,09:13:50,NEUTRO,1.0,1.0,4.0,CALL,156.874785,156.898155
EURGBP,123.99,2023-08-02 09:13:50.671618,09:13:50,NEUTRO,1.0,0.0,1.0,CALL,0.86063,0.86051
EURJPY,123.45,2023-08-02 09:14:51.035259,09:14:50,NEUTRO,1.0,0.0,0.0,PUT,156.919575,156.881185
EURGBP,123.99,2023-08-02 09:14:51.035259,09:14:50,NEUTRO,2.0,1.0,5.0,CALL,0.860865,0.860565
EURJPY,123.45,2023-08-02 09:14:51.996309,09:14:50,ALTA,0.0,0.0,0.0,PUT,156.919575,156.881185
EURGBP,123.99,2023-08-02 09:14:51.996309,09:14:50,NEUTRO,2.0,1.0,5.0,CALL,0.860865,0.860565
EURUSD,124.67,2023-08-02 09:15:50.595181,09:15:50,NEUTRO,1.0,1.0,0.0,PUT,1.09746,1.097015
EURJPY,123.45,2023-08-02 09:15:50.595181,09:15:50,ALTA,0.0,0.0,0.0,PUT,157.021875,156.950995
EURGBP,123.99,2023-08-02 09:15:50.595181,09:15:50,ALTA,1.0,1.0,2.0,CALL,0.860965,0.86093
EURUSD,124.67,2023-08-02 09:16:51.134237,09:16:50,NEUTRO,1.0,0.0,5.0,PUT,1.09747,1.0976
EURJPY,123.45,2023-08-02 09:16:51.134237,09:16:50,ALTA,1.0,0.0,1.0,PUT,157.017225,157.000605
EURGBP,123.99,2023-08-02 09:16:51.134237,09:16:50,NEUTRO,1.0,5.0,5.0,PUT,0.861185,0.86096
EURUSD,124.67,2023-08-02 09:17:50.636140,09:17:50,ALTA,1.0,0.0,5.0,CALL,1.09771,1.097425
EURJPY,123.45,2023-08-02 09:17:50.636140,09:17:50,ALTA,1.0,1.0,0.0,CALL,157.011515,157.009655
EURGBP,123.99,2023-08-02 09:17:50.636140,09:17:50,NEUTRO,1.0,1.0,4.0,CALL,0.861365,0.86117
EURUSD,124.67,2023-08-02 09:18:51.026823,09:18:50,NEUTRO,1.0,4.0,0.0,CALL,1.09754,1.097555
